"JCODE","pref","city","sikuchoson","male","female"
"01101","北海道","札幌市","中央区","81.6","87.5"
"01102","北海道","札幌市","北区","81.3","87.5"
"01103","北海道","札幌市","東区","81","87.2"
"01104","北海道","札幌市","白石区","80.4","87.1"
"01105","北海道","札幌市","豊平区","81","87.4"
"01106","北海道","札幌市","南区","81.6","87.5"
"01107","北海道","札幌市","西区","81.4","87.3"
"01108","北海道","札幌市","厚別区","81.8","87.5"
"01109","北海道","札幌市","手稲区","81.8","87.5"
"01110","北海道","札幌市","清田区","81.5","87.6"
"01202","北海道","NA","函館市","79.3","86.3"
"01203","北海道","NA","小樽市","80.5","86.5"
"01204","北海道","NA","旭川市","80.8","86.9"
"01205","北海道","NA","室蘭市","79.9","86.4"
"01206","北海道","NA","釧路市","80","86.2"
"01207","北海道","NA","帯広市","81.2","87.1"
"01208","北海道","NA","北見市","81.1","87.1"
"01209","北海道","NA","夕張市","80.4","86.7"
"01210","北海道","NA","岩見沢市","80.3","87.1"
"01211","北海道","NA","網走市","80.9","87"
"01212","北海道","NA","留萌市","80.9","86.7"
"01213","北海道","NA","苫小牧市","80.6","86.7"
"01214","北海道","NA","稚内市","80.3","86.5"
"01215","北海道","NA","美唄市","80.5","86.9"
"01216","北海道","NA","芦別市","80.5","86.6"
"01217","北海道","NA","江別市","82.1","88.2"
"01218","北海道","NA","赤平市","79.2","86.8"
"01219","北海道","NA","紋別市","80.5","86.8"
"01220","北海道","NA","士別市","82","88.1"
"01221","北海道","NA","名寄市","81.8","88.1"
"01222","北海道","NA","三笠市","80.1","86.7"
"01223","北海道","NA","根室市","80","86.4"
"01224","北海道","NA","千歳市","82.2","86.9"
"01225","北海道","NA","滝川市","80.3","87.1"
"01226","北海道","NA","砂川市","81","87"
"01227","北海道","NA","歌志内市","80.4","86.9"
"01228","北海道","NA","深川市","81","87.2"
"01229","北海道","NA","富良野市","81.6","87.5"
"01230","北海道","NA","登別市","81","87.1"
"01231","北海道","NA","恵庭市","81.7","87.7"
"01233","北海道","NA","伊達市","81","86.3"
"01234","北海道","NA","北広島市","81.8","88.2"
"01235","北海道","NA","石狩市","81.1","87.6"
"01236","北海道","NA","北斗市","80.4","86.4"
"01303","北海道","NA","当別町","81.6","87.5"
"01304","北海道","NA","新篠津村","80.5","86.4"
"01331","北海道","NA","松前町","79.9","86.4"
"01332","北海道","NA","福島町","80.1","86.9"
"01333","北海道","NA","知内町","80.9","86.9"
"01334","北海道","NA","木古内町","80.8","86.6"
"01337","北海道","NA","七飯町","80.5","86.9"
"01343","北海道","NA","鹿部町","80.1","86.9"
"01345","北海道","NA","森町","80.3","85.9"
"01346","北海道","NA","八雲町","80.7","87.2"
"01347","北海道","NA","長万部町","80.9","87.1"
"01361","北海道","NA","江差町","80.4","87.1"
"01362","北海道","NA","上ノ国町","80.6","85.9"
"01363","北海道","NA","厚沢部町","81.2","87.1"
"01364","北海道","NA","乙部町","80.8","86.9"
"01367","北海道","NA","奥尻町","80.8","86.5"
"01370","北海道","NA","今金町","81","87.3"
"01371","北海道","NA","せたな町","81.1","87.4"
"01391","北海道","NA","島牧村","80.7","87.1"
"01392","北海道","NA","寿都町","81","86.9"
"01393","北海道","NA","黒松内町","80.7","87.2"
"01394","北海道","NA","蘭越町","81","87.2"
"01395","北海道","NA","ニセコ町","81.2","87.1"
"01396","北海道","NA","真狩村","81","87.3"
"01397","北海道","NA","留寿都村","81.4","87.2"
"01398","北海道","NA","喜茂別町","80.7","87"
"01399","北海道","NA","京極町","81.1","86.9"
"01400","北海道","NA","倶知安町","81.5","87.5"
"01401","北海道","NA","共和町","80.8","87.1"
"01402","北海道","NA","岩内町","79.7","85.9"
"01403","北海道","NA","泊村","80.6","86.9"
"01404","北海道","NA","神恵内村","81","87.1"
"01405","北海道","NA","積丹町","80.5","87.2"
"01406","北海道","NA","古平町","80.9","86.8"
"01407","北海道","NA","仁木町","80.7","87.1"
"01408","北海道","NA","余市町","81.2","87.2"
"01409","北海道","NA","赤井川村","80.8","87"
"01423","北海道","NA","南幌町","81.3","87.3"
"01424","北海道","NA","奈井江町","81","86.7"
"01425","北海道","NA","上砂川町","80","87.1"
"01427","北海道","NA","由仁町","81","87.5"
"01428","北海道","NA","長沼町","81","87.6"
"01429","北海道","NA","栗山町","81.7","87"
"01430","北海道","NA","月形町","80.8","87"
"01431","北海道","NA","浦臼町","81","87.2"
"01432","北海道","NA","新十津川町","80.5","87.7"
"01433","北海道","NA","妹背牛町","80.7","87"
"01434","北海道","NA","秩父別町","80.8","87.5"
"01436","北海道","NA","雨竜町","80.9","87.1"
"01437","北海道","NA","北竜町","80.5","87.3"
"01438","北海道","NA","沼田町","81.3","87.1"
"01452","北海道","NA","鷹栖町","81.1","87.2"
"01453","北海道","NA","東神楽町","80.9","87.4"
"01454","北海道","NA","当麻町","81.5","87.4"
"01455","北海道","NA","比布町","80.7","87.2"
"01456","北海道","NA","愛別町","81","87.3"
"01457","北海道","NA","上川町","81.6","87.4"
"01458","北海道","NA","東川町","81.2","87.3"
"01459","北海道","NA","美瑛町","81.7","87.7"
"01460","北海道","NA","上富良野町","81.3","87.9"
"01461","北海道","NA","中富良野町","81.3","87.1"
"01462","北海道","NA","南富良野町","80.9","87"
"01463","北海道","NA","占冠村","80.6","87.4"
"01464","北海道","NA","和寒町","81","87.2"
"01465","北海道","NA","剣淵町","81.2","87.5"
"01468","北海道","NA","下川町","81","87.1"
"01469","北海道","NA","美深町","81.3","87.5"
"01470","北海道","NA","音威子府村","81.1","87.2"
"01471","北海道","NA","中川町","81","87"
"01472","北海道","NA","幌加内町","80.8","87.3"
"01481","北海道","NA","増毛町","80.7","87.1"
"01482","北海道","NA","小平町","80.6","87.3"
"01483","北海道","NA","苫前町","81.2","87.1"
"01484","北海道","NA","羽幌町","81.4","87.3"
"01485","北海道","NA","初山別村","81.1","87.3"
"01486","北海道","NA","遠別町","80.8","86.9"
"01487","北海道","NA","天塩町","81","87.4"
"01511","北海道","NA","猿払村","80.7","87"
"01512","北海道","NA","浜頓別町","80.8","87.3"
"01513","北海道","NA","中頓別町","81","87.2"
"01514","北海道","NA","枝幸町","80.6","86.1"
"01516","北海道","NA","豊富町","81.1","87.2"
"01517","北海道","NA","礼文町","81.2","86.7"
"01518","北海道","NA","利尻町","81.2","87"
"01519","北海道","NA","利尻富士町","81.2","86.7"
"01520","北海道","NA","幌延町","80.9","86.9"
"01543","北海道","NA","美幌町","80.8","87.5"
"01544","北海道","NA","津別町","80.3","87"
"01545","北海道","NA","斜里町","81.2","87.2"
"01546","北海道","NA","清里町","80.5","87.5"
"01547","北海道","NA","小清水町","80.3","86.9"
"01549","北海道","NA","訓子府町","81.1","87.3"
"01550","北海道","NA","置戸町","81","87.1"
"01552","北海道","NA","佐呂間町","81.1","87.3"
"01555","北海道","NA","遠軽町","81.4","87.6"
"01559","北海道","NA","湧別町","80.8","87"
"01560","北海道","NA","滝上町","81","86.9"
"01561","北海道","NA","興部町","80.9","87.3"
"01562","北海道","NA","西興部村","80.8","87.2"
"01563","北海道","NA","雄武町","80.2","87"
"01564","北海道","NA","大空町","80.9","86.7"
"01571","北海道","NA","豊浦町","81","87.2"
"01575","北海道","NA","壮瞥町","81","87.5"
"01578","北海道","NA","白老町","80.4","86.9"
"01581","北海道","NA","厚真町","80.9","87.2"
"01584","北海道","NA","洞爺湖町","80.5","86.9"
"01585","北海道","NA","安平町","80.7","87.3"
"01586","北海道","NA","むかわ町","80.9","87"
"01601","北海道","NA","日高町","80.9","86.9"
"01602","北海道","NA","平取町","80.6","87"
"01604","北海道","NA","新冠町","80.3","86.9"
"01607","北海道","NA","浦河町","80.4","87"
"01608","北海道","NA","様似町","80.9","87.1"
"01609","北海道","NA","えりも町","80.6","86.5"
"01610","北海道","NA","新ひだか町","80.9","86.7"
"01631","北海道","NA","音更町","81.2","87.1"
"01632","北海道","NA","士幌町","81.3","86.8"
"01633","北海道","NA","上士幌町","81.1","86.9"
"01634","北海道","NA","鹿追町","81.8","87.5"
"01635","北海道","NA","新得町","80.5","87.1"
"01636","北海道","NA","清水町","81.5","87.6"
"01637","北海道","NA","芽室町","82.1","87.8"
"01638","北海道","NA","中札内村","81.1","87.5"
"01639","北海道","NA","更別村","81.4","87.4"
"01641","北海道","NA","大樹町","81.3","87.3"
"01642","北海道","NA","広尾町","80.6","87.1"
"01643","北海道","NA","幕別町","81.7","87.1"
"01644","北海道","NA","池田町","81","87.1"
"01645","北海道","NA","豊頃町","81.5","87.2"
"01646","北海道","NA","本別町","80.4","86.8"
"01647","北海道","NA","足寄町","81.8","87.3"
"01648","北海道","NA","陸別町","80.8","87.1"
"01649","北海道","NA","浦幌町","81.3","86.7"
"01661","北海道","NA","釧路町","81.1","87.5"
"01662","北海道","NA","厚岸町","81.0","87.2"
"01663","北海道","NA","浜中町","80.8","86.9"
"01664","北海道","NA","標茶町","80.9","87.3"
"01665","北海道","NA","弟子屈町","80.6","86.8"
"01667","北海道","NA","鶴居村","81.0","87.4"
"01668","北海道","NA","白糠町","80.6","86.8"
"01691","北海道","NA","別海町","80.9","85.8"
"01692","北海道","NA","中標津町","81.2","86.9"
"01693","北海道","NA","標津町","80.5","87.0"
"01694","北海道","NA","羅臼町","80.3","86.8"
"02201","青森県","NA","青森市","79.9","86.2"
"02202","青森県","NA","弘前市","79.2","86.4"
"02203","青森県","NA","八戸市","79.3","86.4"
"02204","青森県","NA","黒石市","79.3","86"
"02205","青森県","NA","五所川原市","79.5","86.3"
"02206","青森県","NA","十和田市","79.2","86.7"
"02207","青森県","NA","三沢市","79.8","87.1"
"02208","青森県","NA","むつ市","78.4","85.6"
"02209","青森県","NA","つがる市","79.6","87.1"
"02210","青森県","NA","平川市","79.8","86"
"02301","青森県","NA","平内町","78.6","86.2"
"02303","青森県","NA","今別町","79.1","85.5"
"02304","青森県","NA","蓬田村","79.4","86.2"
"02307","青森県","NA","外ヶ浜町","79.2","86.5"
"02321","青森県","NA","鰺ヶ沢町","78.8","86.4"
"02323","青森県","NA","深浦町","79","86.4"
"02343","青森県","NA","西目屋村","79.3","86.6"
"02361","青森県","NA","藤崎町","79.9","86.2"
"02362","青森県","NA","大鰐町","79.4","85.6"
"02367","青森県","NA","田舎館村","79.1","85.5"
"02381","青森県","NA","板柳町","79.3","86.9"
"02384","青森県","NA","鶴田町","78.9","86.5"
"02387","青森県","NA","中泊町","78.7","86.3"
"02401","青森県","NA","野辺地町","79.2","86.5"
"02402","青森県","NA","七戸町","79.4","85.9"
"02405","青森県","NA","六戸町","78.7","86.4"
"02406","青森県","NA","横浜町","79.3","86.4"
"02408","青森県","NA","東北町","78.7","86.3"
"02411","青森県","NA","六ヶ所村","78.3","85.9"
"02412","青森県","NA","おいらせ町","79.4","86.3"
"02423","青森県","NA","大間町","78.4","86.6"
"02424","青森県","NA","東通村","78.1","86.1"
"02425","青森県","NA","風間浦村","78.6","85.8"
"02426","青森県","NA","佐井村","79","86.1"
"02441","青森県","NA","三戸町","78.5","86.7"
"02442","青森県","NA","五戸町","79.1","86.9"
"02443","青森県","NA","田子町","79.6","86.2"
"02445","青森県","NA","南部町","78.9","86.2"
"02446","青森県","NA","階上町","79.3","86.4"
"02450","青森県","NA","新郷村","78.7","86.7"
"03201","岩手県","NA","盛岡市","81.3","87.4"
"03202","岩手県","NA","宮古市","79.9","86.3"
"03203","岩手県","NA","大船渡市","80.7","86.7"
"03205","岩手県","NA","花巻市","80.8","86.8"
"03206","岩手県","NA","北上市","81.0","86.8"
"03207","岩手県","NA","久慈市","79.7","86.8"
"03208","岩手県","NA","遠野市","80.5","86.9"
"03209","岩手県","NA","一関市","80.3","87.1"
"03210","岩手県","NA","陸前高田市","80.7","87.3"
"03211","岩手県","NA","釜石市","79.4","86.5"
"03213","岩手県","NA","二戸市","80.1","87.1"
"03214","岩手県","NA","八幡平市","80.3","87.5"
"03215","岩手県","NA","奥州市","81.3","87.5"
"03216","岩手県","NA","滝沢市","81.5","87.6"
"03301","岩手県","NA","雫石町","80.9","87.0"
"03302","岩手県","NA","葛巻町","80.3","86.9"
"03303","岩手県","NA","岩手町","80.2","86.7"
"03321","岩手県","NA","紫波町","81.2","86.9"
"03322","岩手県","NA","矢巾町","81.1","87.6"
"03366","岩手県","NA","西和賀町","80.9","87.3"
"03381","岩手県","NA","金ケ崎町","81.0","87.1"
"03402","岩手県","NA","平泉町","80.6","87.2"
"03441","岩手県","NA","住田町","80.5","87.3"
"03461","岩手県","NA","大槌町","79.3","86.4"
"03482","岩手県","NA","山田町","80.2","87.0"
"03483","岩手県","NA","岩泉町","79.9","86.9"
"03484","岩手県","NA","田野畑村","80.5","86.7"
"03485","岩手県","NA","普代村","80.4","87.1"
"03501","岩手県","NA","軽米町","80.2","87.2"
"03503","岩手県","NA","野田村","80.7","86.9"
"03506","岩手県","NA","九戸村","80.3","87.4"
"03507","岩手県","NA","洋野町","80.0","87.0"
"03524","岩手県","NA","一戸町","80.3","86.6"
"04101","宮城県","仙台市","青葉区","82.3","88.0"
"04102","宮城県","仙台市","宮城野区","82.1","88.0"
"04103","宮城県","仙台市","若林区","82.2","88.0"
"04104","宮城県","仙台市","太白区","82.1","88.3"
"04105","宮城県","仙台市","泉区","83.2","88.4"
"04202","宮城県","NA","石巻市","80.8","86.9"
"04203","宮城県","NA","塩竈市","81.2","87.2"
"04205","宮城県","NA","気仙沼市","81.0","87.5"
"04206","宮城県","NA","白石市","81.3","87.5"
"04207","宮城県","NA","名取市","82.1","87.4"
"04208","宮城県","NA","角田市","81.6","87.0"
"04209","宮城県","NA","多賀城市","81.8","87.5"
"04211","宮城県","NA","岩沼市","81.8","87.4"
"04212","宮城県","NA","登米市","81.0","87.0"
"04213","宮城県","NA","栗原市","81.4","87.4"
"04214","宮城県","NA","東松島市","81.2","86.9"
"04215","宮城県","NA","大崎市","80.8","86.7"
"04216","宮城県","NA","富谷市","82.8","88.1"
"04301","宮城県","NA","蔵王町","81.4","87.7"
"04302","宮城県","NA","七ヶ宿町","81.6","87.2"
"04321","宮城県","NA","大河原町","81.8","87.3"
"04322","宮城県","NA","村田町","81.3","87.2"
"04323","宮城県","NA","柴田町","81.2","87.2"
"04324","宮城県","NA","川崎町","81.8","87.6"
"04341","宮城県","NA","丸森町","81.4","87.4"
"04361","宮城県","NA","亘理町","81.6","87.5"
"04362","宮城県","NA","山元町","81.9","87.8"
"04401","宮城県","NA","松島町","81.4","86.9"
"04404","宮城県","NA","七ヶ浜町","81.3","86.4"
"04406","宮城県","NA","利府町","82.7","87.8"
"04421","宮城県","NA","大和町","81.6","87.7"
"04422","宮城県","NA","大郷町","81.5","87.3"
"04424","宮城県","NA","大衡村","81.7","87.3"
"04444","宮城県","NA","色麻町","81.6","87.1"
"04445","宮城県","NA","加美町","81.5","87.3"
"04501","宮城県","NA","涌谷町","81.1","86.8"
"04505","宮城県","NA","美里町","81.3","87.5"
"04581","宮城県","NA","女川町","81.7","87.5"
"04606","宮城県","NA","南三陸町","81.3","87.4"
"05201","秋田県","NA","秋田市","81.2","87.5"
"05202","秋田県","NA","能代市","80.2","86.8"
"05203","秋田県","NA","横手市","81.1","87.4"
"05204","秋田県","NA","大館市","79.7","87.2"
"05206","秋田県","NA","男鹿市","80.1","86.5"
"05207","秋田県","NA","湯沢市","80.4","86.5"
"05209","秋田県","NA","鹿角市","80.0","87.1"
"05210","秋田県","NA","由利本荘市","80.7","87.3"
"05211","秋田県","NA","潟上市","80.3","87.0"
"05212","秋田県","NA","大仙市","79.9","86.8"
"05213","秋田県","NA","北秋田市","80.1","86.3"
"05214","秋田県","NA","にかほ市","80.5","87.3"
"05215","秋田県","NA","仙北市","80.3","87.2"
"05303","秋田県","NA","小坂町","79.6","87.2"
"05327","秋田県","NA","上小阿仁村","80.5","87.1"
"05346","秋田県","NA","藤里町","79.9","87.0"
"05348","秋田県","NA","三種町","79.7","86.7"
"05349","秋田県","NA","八峰町","80.2","87.1"
"05361","秋田県","NA","五城目町","80.5","86.8"
"05363","秋田県","NA","八郎潟町","80.3","87.6"
"05366","秋田県","NA","井川町","80.4","87.5"
"05368","秋田県","NA","大潟村","80.7","87.2"
"05434","秋田県","NA","美郷町","80.7","87.2"
"05463","秋田県","NA","羽後町","80.4","86.7"
"05464","秋田県","NA","東成瀬村","80.5","87.2"
"06201","山形県","NA","山形市","82.5","87.9"
"06202","山形県","NA","米沢市","80.9","87.2"
"06203","山形県","NA","鶴岡市","80.9","87.6"
"06204","山形県","NA","酒田市","81.0","87.0"
"06205","山形県","NA","新庄市","79.9","86.8"
"06206","山形県","NA","寒河江市","81.8","87.7"
"06207","山形県","NA","上山市","81.1","87.4"
"06208","山形県","NA","村山市","81.7","87.5"
"06209","山形県","NA","長井市","81.3","88.0"
"06210","山形県","NA","天童市","82.4","87.4"
"06211","山形県","NA","東根市","81.9","88.2"
"06212","山形県","NA","尾花沢市","81.7","87.1"
"06213","山形県","NA","南陽市","81.1","86.7"
"06301","山形県","NA","山辺町","81.5","87.3"
"06302","山形県","NA","中山町","81.5","87.9"
"06321","山形県","NA","河北町","81.2","88.1"
"06322","山形県","NA","西川町","81.1","87.3"
"06323","山形県","NA","朝日町","81.6","87.5"
"06324","山形県","NA","大江町","81.4","86.9"
"06341","山形県","NA","大石田町","81.2","86.2"
"06361","山形県","NA","金山町","80.9","87.1"
"06362","山形県","NA","最上町","81.5","87.4"
"06363","山形県","NA","舟形町","80.0","86.5"
"06364","山形県","NA","真室川町","80.1","86.7"
"06365","山形県","NA","大蔵村","81.0","85.8"
"06366","山形県","NA","鮭川村","81.5","86.9"
"06367","山形県","NA","戸沢村","80.5","86.7"
"06381","山形県","NA","高畠町","80.9","87.7"
"06382","山形県","NA","川西町","81.3","87.6"
"06401","山形県","NA","小国町","81.2","86.9"
"06402","山形県","NA","白鷹町","81.4","86.1"
"06403","山形県","NA","飯豊町","81.4","87.1"
"06426","山形県","NA","三川町","81.4","87.8"
"06428","山形県","NA","庄内町","80.3","86.9"
"06461","山形県","NA","遊佐町","80.7","87.4"
"07201","福島県","NA","福島市","81.6","87.4"
"07202","福島県","NA","会津若松市","80.6","87.1"
"07203","福島県","NA","郡山市","81","87.1"
"07204","福島県","NA","いわき市","80.4","86.8"
"07205","福島県","NA","白河市","80.8","87.3"
"07207","福島県","NA","須賀川市","80.8","87.2"
"07208","福島県","NA","喜多方市","80.6","87.2"
"07209","福島県","NA","相馬市","80.2","86.6"
"07210","福島県","NA","二本松市","81.5","87.4"
"07211","福島県","NA","田村市","80.6","86.6"
"07212","福島県","NA","南相馬市","81.1","86.7"
"07213","福島県","NA","伊達市","81","87.2"
"07214","福島県","NA","本宮市","80.7","87"
"07301","福島県","NA","桑折町","80.8","86.7"
"07303","福島県","NA","国見町","80.5","87.2"
"07308","福島県","NA","川俣町","80.5","86.8"
"07322","福島県","NA","大玉村","80.9","87.3"
"07342","福島県","NA","鏡石町","81","86.8"
"07344","福島県","NA","天栄村","80.1","86.4"
"07362","福島県","NA","下郷町","80.6","87.3"
"07364","福島県","NA","檜枝岐村","81","87.1"
"07367","福島県","NA","只見町","80.2","87.3"
"07368","福島県","NA","南会津町","80.7","87.1"
"07402","福島県","NA","北塩原村","80.8","87.1"
"07405","福島県","NA","西会津町","80.6","87.3"
"07407","福島県","NA","磐梯町","80.9","87"
"07408","福島県","NA","猪苗代町","80.4","87.1"
"07421","福島県","NA","会津坂下町","80.8","87.2"
"07422","福島県","NA","湯川村","81.1","87.1"
"07423","福島県","NA","柳津町","81","87"
"07444","福島県","NA","三島町","80.9","87"
"07445","福島県","NA","金山町","80.5","87.1"
"07446","福島県","NA","昭和村","80.7","87.1"
"07447","福島県","NA","会津美里町","80.5","86.8"
"07461","福島県","NA","西郷村","80.1","86.5"
"07464","福島県","NA","泉崎村","80.9","87.1"
"07465","福島県","NA","中島村","80.7","87.3"
"07466","福島県","NA","矢吹町","80.3","87.2"
"07481","福島県","NA","棚倉町","80.6","86.7"
"07482","福島県","NA","矢祭町","81.2","86.7"
"07483","福島県","NA","塙町","80.6","87.4"
"07484","福島県","NA","鮫川村","81","87"
"07501","福島県","NA","石川町","81.1","86.7"
"07502","福島県","NA","玉川村","80.9","86.2"
"07503","福島県","NA","平田村","80.2","86.7"
"07504","福島県","NA","浅川町","80.8","86.9"
"07505","福島県","NA","古殿町","80.9","86.9"
"07521","福島県","NA","三春町","81.2","87.3"
"07522","福島県","NA","小野町","80.9","87"
"07541","福島県","NA","広野町","81.3","87.1"
"07542","福島県","NA","楢葉町","-","-"
"07543","福島県","NA","富岡町","-","-"
"07544","福島県","NA","川内村","-","-"
"07545","福島県","NA","大熊町","-","-"
"07546","福島県","NA","双葉町","-","-"
"07547","福島県","NA","浪江町","-","-"
"07548","福島県","NA","葛尾村","-","-"
"07561","福島県","NA","新地町","81","86.9"
"07564","福島県","NA","飯舘村","-","-"
"08201","茨城県","NA","水戸市","81.0","87.1"
"08202","茨城県","NA","日立市","81.6","87.1"
"08203","茨城県","NA","土浦市","80.9","86.8"
"08204","茨城県","NA","古河市","80.1","86.5"
"08205","茨城県","NA","石岡市","80.5","86.8"
"08207","茨城県","NA","結城市","80.9","86.5"
"08208","茨城県","NA","龍ケ崎市","81.3","86.8"
"08210","茨城県","NA","下妻市","80.7","87.2"
"08211","茨城県","NA","常総市","80.6","87.1"
"08212","茨城県","NA","常陸太田市","81.2","87.1"
"08214","茨城県","NA","高萩市","81.0","86.7"
"08215","茨城県","NA","北茨城市","80.6","86.7"
"08216","茨城県","NA","笠間市","80.4","86.7"
"08217","茨城県","NA","取手市","81.2","87.2"
"08219","茨城県","NA","牛久市","82.5","87.5"
"08220","茨城県","NA","つくば市","81.9","87.7"
"08221","茨城県","NA","ひたちなか市","81.7","87.4"
"08222","茨城県","NA","鹿嶋市","80.7","86.8"
"08223","茨城県","NA","潮来市","80.9","86.7"
"08224","茨城県","NA","守谷市","82.8","87.5"
"08225","茨城県","NA","常陸大宮市","81.0","87.2"
"08226","茨城県","NA","那珂市","81.3","87.5"
"08227","茨城県","NA","筑西市","80.3","87.2"
"08228","茨城県","NA","坂東市","79.8","86.0"
"08229","茨城県","NA","稲敷市","80.1","86.7"
"08230","茨城県","NA","かすみがうら市","79.8","86.7"
"08231","茨城県","NA","桜川市","80.3","86.8"
"08232","茨城県","NA","神栖市","79.9","86.5"
"08233","茨城県","NA","行方市","80.0","86.5"
"08234","茨城県","NA","鉾田市","79.8","86.4"
"08235","茨城県","NA","つくばみらい市","81.3","87.3"
"08236","茨城県","NA","小美玉市","80.1","86.7"
"08302","茨城県","NA","茨城町","80.5","86.7"
"08309","茨城県","NA","大洗町","80.6","86.8"
"08310","茨城県","NA","城里町","80.4","86.9"
"08341","茨城県","NA","東海村","81.5","86.9"
"08364","茨城県","NA","大子町","80.9","86.5"
"08442","茨城県","NA","美浦村","80.6","86.7"
"08443","茨城県","NA","阿見町","80.8","86.6"
"08447","茨城県","NA","河内町","80.8","86.9"
"08521","茨城県","NA","八千代町","80.6","87.0"
"08542","茨城県","NA","五霞町","80.2","86.8"
"08546","茨城県","NA","境町","80.6","86.3"
"08564","茨城県","NA","利根町","80.9","87.1"
"09201","栃木県","NA","宇都宮市","81.7","87.4"
"09202","栃木県","NA","足利市","80.3","86.3"
"09203","栃木県","NA","栃木市","80.5","86.3"
"09204","栃木県","NA","佐野市","80.5","86.5"
"09205","栃木県","NA","鹿沼市","80.9","86.7"
"09206","栃木県","NA","日光市","80.0","86.7"
"09208","栃木県","NA","小山市","80.8","87.1"
"09209","栃木県","NA","真岡市","80.8","86.8"
"09210","栃木県","NA","大田原市","80.9","87.0"
"09211","栃木県","NA","矢板市","80.9","86.5"
"09213","栃木県","NA","那須塩原市","81.4","86.9"
